,Found,Truth
human4_lib1.final_cell_0502,0,beta
human4_lib1.final_cell_0513,0,beta
human4_lib1.final_cell_0122,0,gamma
human4_lib1.final_cell_0179,0,gamma
human4_lib1.final_cell_0196,0,gamma
human4_lib1.final_cell_0199,0,gamma
human4_lib1.final_cell_0240,0,gamma
human4_lib1.final_cell_0265,0,gamma
human4_lib1.final_cell_0268,0,gamma
human4_lib1.final_cell_0298,0,gamma
human4_lib1.final_cell_0311,0,gamma
human4_lib1.final_cell_0328,0,gamma
human4_lib1.final_cell_0329,0,gamma
human4_lib1.final_cell_0331,0,gamma
human4_lib1.final_cell_0365,0,gamma
human4_lib1.final_cell_0388,0,gamma
human4_lib1.final_cell_0395,0,gamma
human4_lib1.final_cell_0449,0,gamma
human4_lib1.final_cell_0458,0,gamma
human4_lib1.final_cell_0464,0,gamma
human4_lib1.final_cell_0470,0,gamma
human4_lib1.final_cell_0484,0,gamma
human4_lib1.final_cell_0488,0,gamma
human4_lib1.final_cell_0505,0,gamma
human4_lib1.final_cell_0517,0,gamma
human4_lib1.final_cell_0561,0,gamma
human4_lib1.final_cell_0570,0,gamma
human4_lib1.final_cell_0575,0,gamma
human4_lib1.final_cell_0580,0,gamma
human4_lib3.final_cell_0084,0,gamma
human4_lib3.final_cell_0145,0,gamma
human4_lib3.final_cell_0171,0,gamma
human4_lib3.final_cell_0187,0,gamma
human4_lib3.final_cell_0196,0,gamma
human4_lib3.final_cell_0203,0,gamma
human4_lib3.final_cell_0208,0,gamma
human4_lib3.final_cell_0274,0,gamma
human4_lib3.final_cell_0275,0,gamma
human4_lib3.final_cell_0294,0,gamma
human4_lib3.final_cell_0299,0,gamma
human4_lib3.final_cell_0314,0,gamma
human4_lib3.final_cell_0316,0,gamma
human4_lib3.final_cell_0345,0,gamma
human4_lib3.final_cell_0349,0,gamma
human4_lib3.final_cell_0378,0,gamma
human4_lib3.final_cell_0393,0,gamma
human4_lib3.final_cell_0394,0,gamma
human4_lib3.final_cell_0409,0,gamma
human4_lib3.final_cell_0425,0,gamma
human4_lib3.final_cell_0430,0,gamma
human4_lib3.final_cell_0436,0,gamma
human4_lib3.final_cell_0443,0,gamma
human4_lib3.final_cell_0452,0,gamma
human4_lib3.final_cell_0464,0,gamma
human4_lib3.final_cell_0513,0,gamma
human4_lib3.final_cell_0529,0,gamma
human4_lib3.final_cell_0566,0,gamma
human4_lib3.final_cell_0568,0,gamma
human4_lib3.final_cell_0570,0,gamma
human4_lib3.final_cell_0591,0,gamma
human4_lib3.final_cell_0617,0,gamma
human4_lib3.final_cell_0622,0,gamma
human4_lib3.final_cell_0637,0,gamma
human4_lib3.final_cell_0643,0,gamma
human4_lib3.final_cell_0659,0,gamma
human4_lib3.final_cell_0553,1,beta
human4_lib1.final_cell_0002,1,delta
human4_lib1.final_cell_0003,1,delta
human4_lib1.final_cell_0015,1,delta
human4_lib1.final_cell_0022,1,delta
human4_lib1.final_cell_0024,1,delta
human4_lib1.final_cell_0028,1,delta
human4_lib1.final_cell_0057,1,delta
human4_lib1.final_cell_0069,1,delta
human4_lib1.final_cell_0083,1,delta
